bgood/xsaitekpanels/radiopanel/rad2lwrdigit10/value	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3uprcom1/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3uprcom2/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3uprnav1/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3uprnav2/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3upradf/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3uprdme/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3uprxpdr/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3uprcorseinc/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3uprcorsedec/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3uprfineinc/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3uprfinedec/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3uprcorseincticks/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3uprcorsedecticks/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3uprfineincticks/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3uprfinedecticks/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3upractstby/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3uprdigit1/value	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3uprdigit2/value	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3uprdigit3/value	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3uprdigit4/value	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3uprdigit5/value	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3uprdigit6/value	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3uprdigit7/value	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3uprdigit8/value	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3uprdigit9/value	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3uprdigit10/value	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3writenow	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3lwrcom1/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3lwrcom2/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3lwrnav1/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3lwrnav2/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3lwradf/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3lwrdme/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3lwrxpdr/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3lwrcorseinc/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3lwrcorsedec/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3lwrfineinc/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3lwrfinedec/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3lwrcorseincticks/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3lwrcorsedecticks/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3lwrfineincticks/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3lwrfinedecticks/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3lwractstby/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3lwrdigit1/value	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3lwrdigit2/value	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3lwrdigit3/value	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3lwrdigit4/value	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3lwrdigit5/value	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3lwrdigit6/value	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3lwrdigit7/value	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3lwrdigit8/value	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3lwrdigit9/value	int	y	bool
bgood/xsaitekpanels/radiopanel/rad3lwrdigit10/value	int	y	bool
bgood/xsaitekpanels/multipanel/altswitch/status	int	y	bool
bgood/xsaitekpanels/multipanel/vsswitch/status	int	y	bool
bgood/xsaitekpanels/multipanel/iasswitch/status	int	y	bool
bgood/xsaitekpanels/multipanel/hdgswitch/status	int	y	bool
bgood/xsaitekpanels/multipanel/crsswitch/status	int	y	bool
bgood/xsaitekpanels/multipanel/knobinc/status	int	y	bool
bgood/xsaitekpanels/multipanel/knobdec/status	int	y	bool
bgood/xsaitekpanels/multipanel/knobincticks/status	int	y	bool
bgood/xsaitekpanels/multipanel/knobdecticks/status	int	y	bool
bgood/xsaitekpanels/multipanel/at/status	int	y	bool
bgood/xsaitekpanels/multipanel/trimup/status	int	y	bool
bgood/xsaitekpanels/multipanel/trimdn/status	int	y	bool
bgood/xsaitekpanels/multipanel/flapsup/status	int	y	bool
bgood/xsaitekpanels/multipanel/flapsdn/status	int	y	bool
bgood/xsaitekpanels/multipanel/apbtn/status	int	y	bool
bgood/xsaitekpanels/multipanel/hdgbtn/status	int	y	bool
bgood/xsaitekpanels/multipanel/navbtn/status	int	y	bool
bgood/xsaitekpanels/multipanel/iasbtn/status	int	y	bool
bgood/xsaitekpanels/multipanel/altbtn/status	int	y	bool
bgood/xsaitekpanels/multipanel/vsbtn/status	int	y	bool
bgood/xsaitekpanels/multipanel/aprbtn/status	int	y	bool
bgood/xsaitekpanels/multipanel/revbtn/status	int	y	bool
